Machine,Projectile,Charge,Target Gas,Allowed Pressure (mbar) for 30.0s
PS,Kr22,22,H2,1.089851944656389e-09
PS,Kr22,22,H2O,8.40057608950366e-11
PS,Kr22,22,CH4,1.0980746274645731e-10
PS,Kr22,22,CO,5.477013000127259e-11
PS,Kr22,22,CO2,3.4194444183085695e-11
PS,In37,37,H2,4.346740518167874e-09
PS,In37,37,H2O,2.6258902076764915e-10
PS,In37,37,CH4,3.791878533228274e-10
PS,In37,37,CO,1.7375363460233556e-10
PS,In37,37,CO2,1.071415157330318e-10
PS,Xe39,39,H2,3.7136982046966773e-09
PS,Xe39,39,H2O,2.255696567302309e-10
PS,Xe39,39,CH4,3.25074034614748e-10
PS,Xe39,39,CO,1.4921759362719396e-10
PS,Xe39,39,CO2,9.203383103516258e-11
PS,Pb54,54,H2,3.55048685615579e-09
PS,Pb54,54,H2O,2.625842108983691e-10
PS,Pb54,54,CH4,3.489857662321635e-10
PS,Pb54,54,CO,1.7156207824204217e-10
PS,Pb54,54,CO2,1.0688962980181335e-10
SPS,He1,2,H2,18564611875.243954
SPS,He1,2,H2O,5978579.942940165
SPS,He1,2,CH4,19977673.376602337
SPS,He1,2,CO,4604940.302215904
SPS,He1,2,CO2,2601673.292883847
SPS,He2,2,H2,719298046003.4509
SPS,He2,2,H2O,231643995.56162396
SPS,He2,2,CH4,774048039.3585601
SPS,He2,2,CO,178421428.01614124
SPS,He2,2,CO2,100803535.69934912
SPS,O4,8,H2,169717691.977055
SPS,O4,8,H2O,54656.18112755636
SPS,O4,8,CH4,182635.90099988834
SPS,O4,8,CO,42098.366776328585
SPS,O4,8,CO2,23784.498674890212
SPS,O5,8,H2,524942097.0821757
SPS,O5,8,H2O,169053.2672544333
SPS,O5,8,CH4,564898.5191616653
SPS,O5,8,CO,130211.55709734859
SPS,O5,8,CO2,73566.19375977061
SPS,O8,8,H2,6573861101.474333
SPS,O8,8,H2O,2117057.679043586
SPS,O8,8,CH4,7074236.229174042
SPS,O8,8,CO,1630642.1125731599
SPS,O8,8,CO2,921271.0168016377
SPS,Mg6,12,H2,34918822.375946626
SPS,Mg6,12,H2O,11245.318377289335
SPS,Mg6,12,CH4,37576.69876484222
SPS,Mg6,12,CO,8661.591933378466
SPS,Mg6,12,CO2,4893.577533694675
SPS,Mg7,12,H2,80344628.26362656
SPS,Mg7,12,H2O,25874.32402507951
SPS,Mg7,12,CH4,86460.1291856618
SPS,Mg7,12,CO,19929.434520045255
SPS,Mg7,12,CO2,11259.619914753053
SPS,Ar11,18,H2,11152282.987263426
SPS,Ar11,18,H2O,3591.5006375413273
SPS,Ar11,18,CH4,12001.148659622062
SPS,Ar11,18,CO,2766.3167824288967
SPS,Ar11,18,CO2,1562.8981094583141
SPS,Ca17,20,H2,74062904.58112265
SPS,Ca17,20,H2O,23851.346789267158
SPS,Ca17,20,CH4,79700.26666796068
SPS,Ca17,20,CO,18371.256910551532
SPS,Ca17,20,CO2,10379.289485661784
SPS,Kr22,36,H2,504661.5151556801
SPS,Kr22,36,H2O,162.52207332742276
SPS,Kr22,36,CH4,543.0742631881142
SPS,Kr22,36,CO,125.18097150292265
SPS,Kr22,36,CO2,70.72404178175557
SPS,In37,49,H2,520768.21790002804
SPS,In37,49,H2O,167.7091039328225
SPS,In37,49,CH4,560.4069415528958
SPS,In37,49,CO,129.17622899075445
SPS,In37,49,CO2,72.9812599044931
SPS,Xe39,54,H2,255785.70646431707
SPS,Xe39,54,H2O,82.3736744207183
SPS,Xe39,54,CH4,275.255056905436
SPS,Xe39,54,CO,63.447483650278166
SPS,Xe39,54,CO2,35.84620274755386
SPS,Pb54,82,H2,23823.97691943427
SPS,Pb54,82,H2O,7.672315022192048
SPS,Pb54,82,CH4,25.637359543339027
SPS,Pb54,82,CO,5.909522494335621
SPS,Pb54,82,CO2,3.338728808234716
